,group,timestamp,name,items,week_num,items_recipe_num,pk,num_missing_Dish,num_bad_units,num_missing_FDA,bad_units
0,afterlunch,2022-03-06 14:30:00Z,"Afterlunch on Sunday, March 06, 2022",[],9,"['102407', '44726.1', '14920', '82258.7']",1000,4,0.0,4.0,
1,breakfast,2022-03-06 07:30:00Z,"Breakfast on Sunday, March 06, 2022","[1030, 1012, 1022, 1037, 1025]",9,"['2032.23', '18451.22', '616.22', '1125.10', '106415', '105032', '68467.1']",1001,2,2.0,0.0,"['2 each', '2 each']"
2,dinner,2022-03-06 16:30:00Z,"Dinner on Sunday, March 06, 2022","[1126, 1145, 1147, 1135, 1149, 1169, 1188, 1177, 1076, 1102, 1066, 1069, 1092, 1047, 1050]",9,"['102098', '4490', '2402', '103772', '33992.8', '138982', '117004', '123763.1', '102554', '103757', '10514.6', '9285.5', '118988', '98833', '35685', '67966', '67985', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '14920', '44726.1', '82258.7', '103630.1', '103411', '103616.1']",1002,14,5.0,9.0,"['1 slice', '1 slice', '1 slice', '1 slice', '1 slice']"
3,lunch,2022-03-06 11:00:00Z,"Lunch on Sunday, March 06, 2022","[1272, 1286, 1279, 1278, 1252, 1503, 1296, 1303, 1233, 1238, 1066, 1223, 1231]",9,"['102346', '102070', '102562', '102370', '103607', '78386.9', '137554.1', '102558', '102648', '999.6', '3978', '10514.6', '63057', '11915']",1003,1,2.0,0.0,"['2 each', '1 serving(s)']"
4,afterlunch,2022-03-07 14:30:00Z,"Afterlunch on Monday, March 07, 2022","[1436, 1433]",9,"['36694.2', '8414.39', '45858', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1']",1004,13,4.0,9.0,"['1/2 sandwich', '1 slice', '1 slice', '1 slice']"
5,breakfast,2022-03-07 07:30:00Z,"Breakfast on Monday, March 07, 2022","[1030, 1038, 1005, 1020, 1008, 1000]",9,"['2032.23', '105904', '3619', '5828.2', '108189', '5480.6', '29729.9', '47130.4', '128444']",1005,3,3.0,0.0,"['3 each', '1 each', '1 plate']"
6,dinner,2022-03-07 16:30:00Z,"Dinner on Monday, March 07, 2022","[1117, 1128, 1163, 1029, 1167, 1359, 1068, 1457]",9,"['103957.3', '11343.5', '128686', '8621', '142444', '103930', '4263.13', '101971', '103274.1', '10518.2', '1462.11', '30876', '135004', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1006,46,8.0,37.0,"['1 slice', '1 each', '1/2 sandwich', '4 ounce', '1 serving(s)', '1 slice', '1 slice', '1 slice']"
7,lunch,2022-03-07 11:00:00Z,"Lunch on Monday, March 07, 2022","[1250, 1249, 1266, 1244, 1252, 1078, 1105, 1086, 1457]",9,"['4617', '118055', '16189.2', '105645', '23557', '117715', '102605', '74493', '103607', '41742.8', '14120.3', '5294.16', '102677', '37633.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1007,34,2.0,32.0,"['2 each', '1 each']"
8,afterlunch,2022-03-08 14:30:00Z,"Afterlunch on Tuesday, March 08, 2022",[1197],9,"['41798.1', '138463', '113305', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103896', '103586.1', '102811']",1008,15,6.0,9.0,"['1 each', '1/2 each', '1 slice', '1 slice', '1 slice', '1 piece']"
9,breakfast,2022-03-08 07:30:00Z,"Breakfast on Tuesday, March 08, 2022","[1030, 1019, 1011, 1000]",9,"['2032.23', '102293', '102399', '122864', '568.7', '105616', '47130.4', '128444']",1009,4,3.0,1.0,"['2 each', '2 each', '1 plate']"
