,name,cafeteria_id,category,portion_volume,portion_weight,calories,total_fat,saturated_fat,carbohydrate,sugar,protein,fiber,sodium,potassium,station,cholesterol,calcium,iron,vitamin_d,vitamin_c,vitamin_a,pk,school
0,Berry Berry Kale Smoothie,47130.4,vegetable,354.882,445.73,170,1.5,0.0,41.0,27.0,3.0,6.0,25,660.0,FYUL,0.0,110.0,1.1,0.0,104.0,45.0,1000,10
1,Carrot and Apple Smoothie,47130.6,vegetable,236.588,228.31,100,0,0.0,24.0,17.0,1.0,3.0,45,380.0,FYUL,0.0,30.0,0.4,0.0,39.0,0.0,1001,10
2,Watermelon Chia Smoothie,139032,vegetable,236.588,205.69,110,2,0.0,24.0,19.0,2.0,3.0,0,240.0,FYUL,0.0,50.0,1.0,0.0,16.0,0.0,1002,10
3,Cheese Grits,29729.9,grain,118.294,116.46,90,2.5,1.5,12.0,0.0,3.0,1.0,220,30.0,HOMESTYLE,5.0,50.0,0.5,0.0,0.0,0.0,1003,10
4,Cheesy Tofu Fajita Scramble,129565,protein,118.294,114.01,170,11,1.5,4.0,0.0,17.0,3.0,230,270.0,HOMESTYLE,0.0,640.0,2.8,0.0,7.0,5.0,1004,10
5,Country Ham,5303,protein,78.86266666666666,53.3,70,3,1.0,1.0,1.0,9.0,0.0,630,170.0,HOMESTYLE,30.0,0.0,0.4,15.0,0.0,0.0,1005,10
6,Curried Vegetable Chickpea Hash,105616,grain,118.294,96.02,100,4,0.5,15.0,2.0,4.0,4.0,135,270.0,HOMESTYLE,0.0,50.0,1.6,0.0,20.0,0.0,1006,10
7,"Diced Potato, Pepper, and Onion Hash",43721,grain,236.588,85.05,90,3,2.0,14.0,1.0,1.0,2.0,290,240.0,HOMESTYLE,10.0,10.0,0.3,0.0,8.0,0.0,1007,10
8,French Toast Casserole wtih Chia Seeds,138787,grain,236.588,85.05,400,23,13.0,36.0,21.0,11.0,2.0,850,210.0,HOMESTYLE,235.0,150.0,2.3,80.0,5.0,35.0,1008,10
9,Garlic Roasted Broccoli and Cauliflower,103422,vegetable,118.294,50.82,45,4,0.0,3.0,1.0,1.0,1.0,390,140.0,HOMESTYLE,0.0,20.0,0.3,0.0,31.0,0.0,1009,10
10,Grits,611.3,grain,118.294,137.82,70,0,0.0,15.0,0.0,1.0,1.0,170,30.0,HOMESTYLE,0.0,0.0,0.6,0.0,0.0,0.0,1010,10
11,"Grits, Jalapeno Cheese",3308.1,grain,118.294,161.05,100,1.5,0.5,18.0,1.0,2.0,1.0,330,40.0,HOMESTYLE,5.0,30.0,0.7,0.0,0.0,0.0,1011,10
