group,timestamp,name,items,week_num,items_recipe_num,pk
afterlunch,2022-03-06 14:30:00Z,"Afterlunch on Sunday, March 06, 2022",[],9,"['102407', '44726.1', '14920', '82258.7']",1000
breakfast,2022-03-06 07:30:00Z,"Breakfast on Sunday, March 06, 2022","[1047, 1021, 1014, 1036, 1037, 1056, 1040]",9,"['2032.23', '18451.22', '616.22', '1125.10', '106415', '105032', '68467.1']",1001
dinner,2022-03-06 16:30:00Z,"Dinner on Sunday, March 06, 2022","[1208, 1236, 1238, 1223, 1240, 1266, 1293, 1276, 1156, 1182, 1146, 1149, 1172, 1110, 1123, 1102, 1119, 1085, 1077, 1068]",9,"['102098', '4490', '2402', '103772', '33992.8', '138982', '117004', '123763.1', '102554', '103757', '10514.6', '9285.5', '118988', '98833', '35685', '67966', '67985', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '14920', '44726.1', '82258.7', '103630.1', '103411', '103616.1']",1002
lunch,2022-03-06 11:00:00Z,"Lunch on Sunday, March 06, 2022","[1403, 1420, 1413, 1412, 1380, 1406, 1432, 1433, 1442, 1359, 1364, 1146, 1349, 1357]",9,"['102346', '102070', '102562', '102370', '103607', '78386.9', '137554.1', '102558', '102648', '999.6', '3978', '10514.6', '63057', '11915']",1003
afterlunch,2022-03-07 14:30:00Z,"Afterlunch on Monday, March 07, 2022","[1644, 1645, 1639, 1074, 1072, 1080]",9,"['36694.2', '8414.39', '45858', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1']",1004
breakfast,2022-03-07 07:30:00Z,"Breakfast on Monday, March 07, 2022","[1047, 1061, 1023, 1059, 1009, 1032, 1013, 1001, 1000]",9,"['2032.23', '105904', '3619', '5828.2', '108189', '5480.6', '29729.9', '47130.4', '128444']",1005
dinner,2022-03-07 16:30:00Z,"Dinner on Monday, March 07, 2022","[1197, 1212, 1256, 1046, 1233, 1292, 1264, 1542, 1148, 1503, 1499, 1074, 1072, 1080, 1667]",9,"['103957.3', '11343.5', '128686', '8621', '142444', '103930', '4263.13', '101971', '103274.1', '10518.2', '1462.11', '30876', '135004', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102800', '103644.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1006
lunch,2022-03-07 11:00:00Z,"Lunch on Monday, March 07, 2022","[1378, 1421, 1377, 1394, 1225, 1372, 1380, 1158, 1185, 1166, 1667]",9,"['4617', '118055', '16189.2', '105645', '23557', '117715', '102605', '74493', '103607', '41742.8', '14120.3', '5294.16', '102677', '37633.3', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1007
afterlunch,2022-03-08 14:30:00Z,"Afterlunch on Tuesday, March 08, 2022","[1302, 1307, 1318, 1069, 1082, 1087, 1076]",9,"['41798.1', '138463', '113305', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103574.1', '103896', '103586.1', '102811']",1008
breakfast,2022-03-08 07:30:00Z,"Breakfast on Tuesday, March 08, 2022","[1047, 1462, 1044, 1030, 1020, 1001, 1000]",9,"['2032.23', '102293', '102399', '122864', '568.7', '105616', '47130.4', '128444']",1009
